Song,Artist,Tempo,Energy,Danceability
Blinding Lights,The Weeknd,171,0.8,0.7
Shape of You,Ed Sheeran,96,0.65,0.82
Levitating,Dua Lipa,103,0.75,0.8
Believer,Imagine Dragons,125,0.85,0.65
Senorita,Shawn Mendes,117,0.6,0.78
STAY,Justin Bieber,170,0.8,0.75
Industry Baby,Lil Nas X,150,0.9,0.72
Peaches,Justin Bieber,90,0.55,0.8
Bad Guy,Billie Eilish,135,0.65,0.85
Sunflower,Post Malone,90,0.5,0.75
Perfect,Ed Sheeran,95,0.4,0.6
Dynamite,BTS,114,0.8,0.82
Butter,BTS,110,0.78,0.84
Rockstar,DaBaby,160,0.85,0.7
Attention,Charlie Puth,100,0.65,0.75
Counting Stars,OneRepublic,122,0.75,0.68
Faded,Alan Walker,90,0.7,0.6
Closer,The Chainsmokers,95,0.6,0.75
Sorry,Justin Bieber,100,0.7,0.82
Havana,Camila Cabello,105,0.6,0.8
Cheap Thrills,Sia,90,0.7,0.85
Dance Monkey,Tones and I,98,0.65,0.82
Thunder,Imagine Dragons,168,0.8,0.6
Uptown Funk,Bruno Mars,115,0.9,0.88
Wake Me Up,Avicii,124,0.85,0.7
